"","X","Payment.Date","Start.Date","End.Date","Accrual.Days","Rate","Amount","Has.Occurred","Reset.Date","Is.Fixed","discnov","discoct","zeronov","zerooct","npv"
"11",0,2019-12-18,"2019-09-18","2019-12-18",91,0.029333986026517,7414.97980114736,"False","September 16th, 2019","False",0.970212406730107,0.996100295007611,2.881904,2.06692,7194.10539872631
"12",1,2020-03-18,"2019-12-18","2020-03-18",91,0.0299418531374801,7568.63509864081,"False","December 16th, 2019","False",0.962924383444234,0.991662978150752,2.910541,1.91237,7288.02328587309
"13",2,2020-06-18,"2020-03-18","2020-06-18",92,0.0299399360417652,7651.31698845112,"False","March 16th, 2020","False",0.955612687851297,0.987564881064927,2.930296,1.815738,7311.69559293607
"14",3,2020-09-18,"2020-06-18","2020-09-18",92,0.0295593517845996,7554.05656717545,"False","June 16th, 2020","False",0.948448057573361,0.983683522306517,2.939175,1.74916,7164.63027793684
"15",4,2020-12-18,"2020-09-18","2020-12-18",91,0.0293739035337226,7425.07005991322,"False","September 16th, 2020","False",0.941457668426849,0.979999342970751,2.94356,1.698982,6990.3891465119
"16",5,2021-03-18,"2020-12-18","2021-03-18",90,0.0292588448174582,7314.71120436455,"False","December 16th, 2020","False",0.934621184377645,0.976559060067273,2.945,1.652255,6836.48404920363
"17",6,2021-06-18,"2021-03-18","2021-06-18",92,0.0291740567274586,7455.59227479498,"False","March 16th, 2021","False",0.927704597149843,0.97315668651676,2.945194,1.612291,6916.58722780215
"18",7,2021-09-20,"2021-06-18","2021-09-20",94,0.0290968094837473,7597.50025408956,"False","June 16th, 2021","False",0.920709506440717,0.969783178350913,2.94462,1.577353,6995.09070912602
"19",8,2021-12-20,"2021-09-20","2021-12-20",91,0.0290223225583172,7336.19820224129,"False","September 16th, 2021","False",0.914004190541227,0.966507005775513,2.943574,1.552354,6705.31589948956
"20",9,2022-03-18,"2021-12-20","2022-03-18",88,0.0289066598130433,7066.07239874391,"False","December 16th, 2021","False",0.90759108621756,0.963350431548961,2.941886,1.533002,6413.1043236679
"21",10,2022-06-20,"2022-03-18","2022-06-20",94,0.0288265703355291,7526.9378098326,"False","March 16th, 2022","False",0.900810739800651,0.95998597951447,2.939702,1.516313,6780.3464169088
"22",11,2022-09-19,"2022-06-20","2022-09-19",91,0.0288100301332592,7282.53539479606,"False","June 16th, 2022","False",0.894297983085337,0.956727118961269,2.937783,1.503401,6512.7567153137
"23",12,2022-12-19,"2022-09-19","2022-12-19",91,0.0288696223221631,7297.59897588012,"False","September 15th, 2022","False",0.887819035798924,0.953465143731153,2.936469,1.492973,6478.9472864131
"24",13,2023-03-20,"2022-12-19","2023-03-20",91,0.0288729989141599,7298.45250330152,"False","December 15th, 2022","False",0.881386279898026,0.950210147523804,2.935328,1.484182,6432.75590089737
"25",14,2023-06-19,"2023-03-20","2023-06-19",91,0.028883962752716,7301.22391804766,"False","March 16th, 2023","False",0.874997725575815,0.946947860784992,2.934371,1.477105,6388.55432221144
"26",15,2023-09-18,"2023-06-19","2023-09-18",91,0.0289790067159282,7325.24891985964,"False","June 15th, 2023","False",0.868634759740275,0.943662636728835,2.934011,1.471842,6362.96583553999
"27",16,2023-12-18,"2023-09-18","2023-12-18",91,0.0291566477064189,7370.15261467811,"False","September 14th, 2023","False",0.862279627290615,0.94034942154556,2.93457,1.468206,6355.13244965959
"28",17,2024-03-18,"2023-12-18","2024-03-18",91,0.0293223702703781,7412.04359612335,"False","December 14th, 2023","False",0.855935396813965,0.937022548816157,2.93618,1.465776,6344.23047665025
"29",18,2024-06-18,"2024-03-18","2024-06-18",92,0.0294627909418935,7529.37990737279,"False","March 14th, 2024","False",0.849538895721984,0.933629268434171,2.938353,1.464571,6396.50109198078
"30",19,2024-09-18,"2024-06-18","2024-09-18",92,0.0296117034466963,7567.43532526682,"False","June 14th, 2024","False",0.843158349443611,0.930187987261076,2.940989,1.464799,6380.54627837325
