,0
0,1.912370 % Actual/Actual (ISDA) continuous compounding
1,1.749160 % Actual/Actual (ISDA) continuous compounding
2,1.652255 % Actual/Actual (ISDA) continuous compounding
3,1.577353 % Actual/Actual (ISDA) continuous compounding
4,1.533002 % Actual/Actual (ISDA) continuous compounding
5,1.503401 % Actual/Actual (ISDA) continuous compounding
6,1.484182 % Actual/Actual (ISDA) continuous compounding
7,1.471842 % Actual/Actual (ISDA) continuous compounding
8,1.465776 % Actual/Actual (ISDA) continuous compounding
9,1.464799 % Actual/Actual (ISDA) continuous compounding
10,2.066920 % Actual/Actual (ISDA) continuous compounding
11,1.912370 % Actual/Actual (ISDA) continuous compounding
12,1.815738 % Actual/Actual (ISDA) continuous compounding
13,1.749160 % Actual/Actual (ISDA) continuous compounding
14,1.698982 % Actual/Actual (ISDA) continuous compounding
15,1.652255 % Actual/Actual (ISDA) continuous compounding
16,1.612291 % Actual/Actual (ISDA) continuous compounding
17,1.577353 % Actual/Actual (ISDA) continuous compounding
18,1.552354 % Actual/Actual (ISDA) continuous compounding
19,1.533002 % Actual/Actual (ISDA) continuous compounding
20,1.516313 % Actual/Actual (ISDA) continuous compounding
21,1.503401 % Actual/Actual (ISDA) continuous compounding
22,1.492973 % Actual/Actual (ISDA) continuous compounding
23,1.484182 % Actual/Actual (ISDA) continuous compounding
24,1.477105 % Actual/Actual (ISDA) continuous compounding
25,1.471842 % Actual/Actual (ISDA) continuous compounding
26,1.468206 % Actual/Actual (ISDA) continuous compounding
27,1.465776 % Actual/Actual (ISDA) continuous compounding
28,1.464571 % Actual/Actual (ISDA) continuous compounding
29,1.464799 % Actual/Actual (ISDA) continuous compounding
